1/vs,1/vp
132.561,82.316
130.462,81.975
130.803,82.679
133.733,81.723
132.734,80.771
129.249,79.2
126.367,79.621
128.064,80.065
129.61,80.824
131.261,81.848
132.607,81.128
131.213,80.442
131.267,80.821
132.509,82.269
134.667,82.527
135.548,82.426
136.023,81.365
135.053,80.743
134.081,79.023
133.104,78.858
132.12,79.886
133.886,83.002
127.094,74.338
122.709,72.914
122.158,73.933
124.416,76.257
128.668,77.344
131.067,78.089
134.265,79.266
136.974,81.761
129.285,81.471
123.416,79.275
121.278,75.985
121.802,74.818
123.011,76.35
123.473,80.087
122.66,79.915
121.659,74.969
119.431,74.673
120.137,75.374
121.344,77.934
123.164,77.094
121.998,76.725
120.824,75.706
120.622,74.842
122.692,76.017
126.816,76.721
128.447,77.948
126.972,79.15
129.143,79.097
130.757,79.017
130.704,80.312
127.344,81.655
129.402,82.737
131.382,82.995
130.701,82.965
131.268,83.074
130.569,82.67
129.753,80.86
126.751,77.85
126.301,76.306
125.481,76.008
122.355,75.25
118.371,76.441
119.289,78.463
122.88,79.321
122.649,79.096
122.734,78.633
123.023,78.745
122.203,76.634
117.102,74.63
116.849,73.429
117.33,74.816
121.252,76.786
124.04,77.752
125.843,78.758
125.882,78.921
125.753,79.243
126.823,79.179
127.446,79.021
127.598,78.525
125.686,78.368
125.518,78.608
125.445,79.483
125.992,79.833
125.97,78.787
127.132,77.227
125.856,76.827
124.786,76.911
124.259,77.66
126.344,78.751
127.304,79.838
127.199,80.003
127.309,77.823
125.518,74.154
119.342,72.226
114.449,74.246
116.857,76.917
121.705,78.959
124.909,80.603
127.047,78.456
124.72,74.479
121.296,72.732
118.148,74.29
120.421,76.39
123.226,78.396
126.259,80.135
130.039,80.45
134.52,79.155
127.917,75.026
116.964,73.244
112.972,72.994
117.15,76.172
124.856,77.848
130.13,75.504
128.269,74.956
124.061,76.444
122.477,80.589
122.053,81.942
122.531,80.851
122.704,79.621
